name,description,field,start_date,stage,business_registered,tax_code,status,website,fanpage,youtube,document_url,avatar_url,mentor_id,lecturer_id
A Núi,Tái chế vỏ tôm để bảo quản trái cây,,,,,,,,,,,,,
Dự án Đồng hồ nước thông minh,Dự án Đồng hồ nước thông minh,,,,,,,,,,,,,
Dự án HCare dịch vụ vệ sinh nón bảo hiểm,Dự án HCare dịch vụ vệ sinh nón bảo hiểm,,,,,,,,,,,,,
Dự án Trạng nguyên Legend,"Phần mềm Game hóa trong việc học, thay đổi hình thức học tập, giúp tăng động lực và khả năng cạnh tranh của người học",,,,,,,,,,,,,
Dự án Nền tảng quản lý và chia sẻ không gian sống;,Dự án Nền tảng quản lý và chia sẻ không gian sống;,,,,,,,,,,,,,
"Dự án JB Production, design multimedia, quảng cáo","Dự án JB Production, design multimedia, quảng cáo",,,,,,,,,,,,,
Gia sư online,Ý tưởng khởi nghiệp mô hình Gia sư Online,,,,,,,,,,,,,
MEC,Ứng Dụng Mạng Xã Hội Về Thời Trang Và Thương Mại Điện Tử Kết Hợp – M.Ec Fashion.,,,,,,,,,,,,,
Uship,,,,,,,,,,,,,,
HappyMind - Ứng dụng di động tích hợp trí tuệ nhân tạo hỗ trợ tham vấn và điều trị sức khỏe tâm lý cộng động.,,,,,,,,,,,,,,
BookLink - Dự án cho thuê sách,,,,,,,,,,,,,,
AutoStudy,,,,,,,,,,,,,,
Làm tranh từ vỏ lon tái chế,,,,,,,,,,,,,,
Ứng dụng công nghệ 3D và trí tuệ nhân tạo vào mua sắm thời trang,,,,,,,,,,,,,,
Số hóa chi phí thấp hệ thống giám sát cửa hàng nhỏ sử dụng NI myRIO bằng Labview ,,,,,,,,,,,,,,
Chuỗi hệ thống rửa xe tự động ,Đây là một dự án được phát triển dựa trên nền tảng công nghệ IoT để thiết kế chuỗi hệ thống rửa xe ô tô tự động,,,,,,,,,,,,,
ATM Giấy ,,,,,,,,,,,,,,
WINE – BẢO NGỌC: Rượu vang cà phê Việt Nam – Tận dụng phần thịt quả cà phê khi chế biến cà phê nhân để lên men thành Rượu vang ,,,,,,,,,,,,,,
Tổng hợp gạch sinh học từ các loại phụ phế phẩm nông nghiệp thay thế vật liệu xây dựng truyền thống.,"Tổng hợp gạch sinh học từ các loại phế
 phụ phẩm nông nghiệp thay thế vật liệu
 xây dựng truyền thống",,,,,,,,,,,,,
Checkee: Giải pháp truy xuất nguồn gốc nông sản Việt ,,,,,,,,,,,,,,
Secret Room Event - Mật mã thế giới phù thủy,,,,,,,,,,,,,,
GIẢI PHÁP THIÊN NHIÊN HOÁ KHÔNG GIAN SỐNG HIỆN ĐẠI ,"Giải pháp thiên nhiên hóa không gian 
sống hiện đại ",,,,,,,,,,,,,
ArtTech - The fusion of Art and Technology,,,,,,,,,,,,,,
PS:HE,,,,,,,,,,,,,,
Focaries,,,,,,,,,,,,,,
OEA - Online Edu Autodidacticism,,,,,,,,,,,,,,
EasyGreen,,,,,,,,,,,,,,
SQUARE-SHARING,,,,,,,,,,,,,,
Kẹo dẻo hữu cơ Gummy Orrganic bổ sung pectin chiết xuất từ vỏ thanh long,"Chiết xuất pectin từ vỏ trái thanh long, nhằm bổ sung các chất dinh dưỡng cần và giúp bảo vệ sức khỏe",,,,,,,,,,,,,
NGHIÊN CỨU QUY TRÌNH SẢN XUẤT TRÀ THẢO DƯỢC,,,,,,,,,,,,,,
Terrarium ENVI,,,,,,,,,,,,,,
ĐỆM TÁI CHẾ TỪ VẬT LIỆU THẢI,Chế tạo nệm ngồi từ nhựa và vỏ gáo dừa,,,,,,,,,,,,,
App đặt - giao đồ ăn trong Trường Đại học Văn Lang,,,,,,,,,,,,,,
"Ứng Dụng Tư Vấn Tâm Lý ""Heart Warm""",,,,,,,,,,,,,,
Meeting to Meeting,"Xây dựng giải pháp cho doanh nghiệp/trường học muốn tổ chức, quản lý các cuộc họp. Các tổ chức này thường có rất nhiều công việc trước và sau cuộc họp. Tạo cuộc họp, nhắc nhở, phân công, giám sát phân công công việc sau cuộc họp",,,,,,,,,,,,,
Vision Future Connection (VFC),"Mục đích:quảng bá hình ảnh trường đại học đến nhiều đối tượng.
Mục đích cụ thể:
Giúp người vào trường có cơ hội trải nghiệm không gian làm việc và học tập ở trường Văn Lang.
Hình ảnh của trường được tiếp cận đến người vào trường 1 cách chuyên nghiệp sẽ tăng tính hiện đại và uy tín cho trường.
Thu hút được người quan tâm đến sự hiện đại của trường",,,,,,,,,,,,,
Internal Employee Training,"Xây dựng website hỗ trợ đào tạo nội bộ, cho nhân viên của một tổ chức, giúp tổ chức training cho nhân viên.",,,,,,,,,,,,,
Smart Room Design,"Xây dựng Website/Mobile App cho phép những người không có tiền thuê kiến trúc sư, có thể sử dụng website/mobile sau đó nhập các thông số của căn nhà mình để tìm ý  tưởng mua đồ nội thất, thiết kế bên trong nhà, kết nối với nhà cung cấp vật liệu xây dựng để so sánh giá cả, tính tổng chi phí xây dựng ngôi nhà",,,,,,,,,,,,,
Ứng Dụng Công Nghệ Nhận Hàng Từ Shipper Hộ Khách Hàng,,,,,,,,,,,,,,
Trọ Ở Đây,,,,,,,,,,,,,,
RubikSphere,,,,,,,,,,,,,,
ZooTek,"Dự án start-up cung cấp dịch vụ mua - bán, sữa chửa và lắp đặt máy tính.",,,,,,,,,,,,,
Mô Hình Ứng Dụng Mạng Xã Hội Dành Riêng Cho Thú Cưng Kết Hợp Với Sổ Sức Khỏe Điện Tử Thú Cưng X Blockchain X Kinh Doanh Dịch Vụ Dành Riêng Cho Thú Cưng      ,,,,,,,,,,,,,,
Tripey,,,,,,,,,,,,,,
Vòng Tuần Hoàn Của Rác Thải,,,,,,,,,,,,,,
REDPet,"Ứng dụng cung cấp thông tin, dịch vụ điện tử về Sách Đỏ, thú nuôi và các thông tin liên quan khác",,,,,,,,,,,,,
Become a mom - Làm mẹ,,,,,,,,,,,,,,
CẢI TẠO VÀ PHÁT TRIỂN NGUỒN NƯỚC NÓNG TU BÔNG,,,,,,,,,,,,,,
SV3AS,,,,,,,,,,,,,,
I'mcoming,,,,,,,,,,,,,,
Q TRAVEL,,,,,,,,,,,,,,
Carlife,,,,,,,,,,,,,,
Nội Thất Tái Chế Kết Hợp Ứng Dụng Trí Tuệ Nhân Tạo - Furecy,,,,,,,,,,,,,,
Language Share,,,,,,,,,,,,,,
Thuê nhà xa - Gần nhà tôi ,,,,,,,,,,,,,,
Petit village ,,,,,,,,,,,,,,
B2G,"Kết nối giữa các mentor có kinh nghiệm trong lĩnh vực thể thao điện tử với người dùng thông qua việc đăng ký khoá học, tạo cơ hội cho người dùng tiếp cận eSports một cách hiệu quả",,,,,,,,,,,,,
THE HEIRS,Dự Án Sử Dụng Công Nghệ Thực Tế Ảo Metaverse Để Quảng Bá Cho Lĩnh Vực Dịch Vụ Ngành F&B Tại Việt Nam ,,,,,,,,,,,,,
ECAP,"Bộ sản phẩm với 3 chốt kết nối các chai nhựa theo hình thức module thành nhiều hình thái và kích thước khác nhau, từ đó có thể ứng dụng vào nhiều lĩnh vực như xây dựng, cứu hộ cứu nạn lũ lụt, tạo hình công trình xanh",,,,,,,,,,,,,
